,0.4,1.2,1.9,2.7,3.4,4.2,4.9,5.7,6.4,7.2,7.9,8.7,9.4,10.2,10.9
3,0,0.071,-0.103,-0.925,-0.857,-1.234,-1.378,-1.341,-1.275,-1.504,-1.439,-1.427,-1.446,-1.375,-1.375
4,0,0.07,-0.054,-0.67,-0.822,-1.24,-1.443,-1.286,-1.322,-1.423,-1.4,-1.392,-1.352,-1.344,-1.344
5,0,0.12,0.151,-0.572,-0.514,-0.926,-1.067,-1.083,-1.092,-1.252,-1.24,-1.233,-1.211,-1.187,-1.187
6,0,0.12,0.178,-0.542,-0.58,-0.848,-1.008,-1.008,-0.994,-1.123,-1.13,-1.173,-1.151,-1.154,-1.154
7,0,-0.087,0.185,-0.426,-0.356,-0.636,-0.634,-0.653,-0.887,-0.936,-0.936,-0.926,-0.96,-0.995,-0.995
8,0,-0.087,0.238,-0.386,-0.355,-0.643,-0.75,-0.775,-0.914,-0.947,-0.933,-0.928,-0.94,-0.971,-0.971
9,0,-0.13,0.181,-0.358,-0.353,-0.619,-0.707,-0.761,-0.873,-0.985,-0.981,-0.955,-0.964,-1.011,-1.011
10,0,-0.13,0.412,-0.223,-0.285,-0.586,-0.612,-0.672,-0.722,-0.727,-0.748,-0.72,-0.824,-0.829,-0.829
11,0,0.249,0.404,-0.247,-0.267,-0.45,-0.538,-0.586,-0.655,-0.675,-0.708,-0.684,-0.702,-0.718,-0.718
12,0,0.249,0.356,-0.284,-0.31,-0.552,-0.571,-0.614,-0.621,-0.607,-0.602,-0.613,-0.627,-0.667,-0.667
13,0,0.249,0.343,-0.327,-0.29,-0.546,-0.559,-0.612,-0.594,-0.607,-0.638,-0.65,-0.612,-0.661,-0.661
14,0,0.249,0.352,-0.22,-0.255,-0.44,-0.423,-0.52,-0.532,-0.538,-0.547,-0.547,-0.526,-0.526,-0.526
15,0,0.249,0.342,-0.183,-0.159,-0.388,-0.388,-0.543,-0.544,-0.547,-0.527,-0.53,-0.49,-0.501,-0.501
16,0,0.249,0.409,-0.091,-0.18,-0.401,-0.403,-0.546,-0.579,-0.567,-0.568,-0.534,-0.515,-0.529,-0.529
17,0,0.104,0.487,-0.031,-0.104,-0.231,-0.264,-0.425,-0.485,-0.492,-0.484,-0.474,-0.474,-0.503,-0.503
18,0,0.104,0.52,0.0,-0.124,-0.204,-0.271,-0.372,-0.428,-0.452,-0.442,-0.382,-0.382,-0.418,-0.418
19,0,0.104,0.44,-0.018,-0.14,-0.211,-0.296,-0.452,-0.494,-0.502,-0.496,-0.496,-0.496,-0.498,-0.498
20,0,0.104,0.41,-0.067,-0.146,-0.289,-0.326,-0.503,-0.504,-0.503,-0.496,-0.496,-0.496,-0.496,-0.496
